timestamp,open,high,low,close,volume
2026-01-31 23:30:00,2454.55,2462.36,2444.3,2447.26,8354.1443
2026-01-31 23:45:00,2447.27,2454.0,2434.45,2451.95,9329.8461
2026-02-01 00:00:00,2451.96,2467.75,2446.12,2465.07,8211.9775
2026-02-01 00:15:00,2465.07,2475.98,2455.04,2455.97,11478.2946
2026-02-01 00:30:00,2455.97,2464.34,2448.0,2450.04,6697.4927
2026-02-01 00:45:00,2450.04,2459.21,2448.95,2452.18,5608.311
2026-02-01 01:00:00,2452.18,2455.61,2432.31,2440.96,9515.4752
2026-02-01 01:15:00,2440.96,2454.0,2429.15,2452.51,7292.018
2026-02-01 01:30:00,2452.51,2453.0,2435.0,2436.94,4894.8184
2026-02-01 01:45:00,2436.95,2447.17,2435.87,2444.7,3344.4964
2026-02-01 02:00:00,2444.7,2458.19,2440.24,2456.77,4292.2218
2026-02-01 02:15:00,2456.76,2458.28,2444.17,2446.26,3747.7251
2026-02-01 02:30:00,2446.26,2455.2,2445.98,2451.57,4414.6024
2026-02-01 02:45:00,2451.57,2461.81,2451.41,2452.61,6139.2285
2026-02-01 03:00:00,2452.61,2456.62,2446.53,2449.55,4519.2967
2026-02-01 03:15:00,2449.56,2450.88,2438.13,2443.11,4473.1098
2026-02-01 03:30:00,2443.11,2446.39,2438.5,2440.97,4253.966
2026-02-01 03:45:00,2440.97,2445.86,2440.66,2445.46,4103.2035
2026-02-01 04:00:00,2445.46,2453.66,2441.52,2452.11,4613.3932
2026-02-01 04:15:00,2452.1,2454.66,2445.96,2448.22,4039.059
2026-02-01 04:30:00,2448.21,2453.29,2447.4,2452.66,3006.9243
2026-02-01 04:45:00,2452.66,2454.25,2448.11,2448.23,2852.7663
2026-02-01 05:00:00,2448.23,2449.44,2435.42,2441.03,8050.4959
2026-02-01 05:15:00,2441.02,2448.8,2435.81,2447.4,6457.277
2026-02-01 05:30:00,2447.4,2448.15,2424.56,2427.11,7048.317
2026-02-01 05:45:00,2427.11,2432.31,2425.21,2430.51,5808.5837
