datetime,open,high,low,close,volume
2025-01-01 00:00:00,3337.79,3365.4,3335.93,3363.69,9679.98825
2025-01-01 01:00:00,3363.69,3365.94,3342.67,3346.53,5524.67191
2025-01-01 02:00:00,3346.53,3368.42,3346.35,3362.75,5603.8555
2025-01-01 03:00:00,3362.75,3363.73,3351.0,3355.19,4750.96299
2025-01-01 04:00:00,3355.19,3356.63,3339.59,3341.14,4791.67584
2025-01-01 05:00:00,3341.14,3351.57,3340.02,3345.4,4065.60749
2025-01-01 06:00:00,3345.4,3348.0,3336.88,3346.61,5907.83281
2025-01-01 07:00:00,3346.61,3349.39,3339.37,3346.91,3999.89315
2025-01-01 08:00:00,3346.91,3348.84,3331.69,3337.01,6996.87163
2025-01-01 09:00:00,3337.01,3341.0,3314.14,3334.55,8648.6442
2025-01-01 10:00:00,3334.55,3338.83,3325.7,3326.69,5296.73562
2025-01-01 11:00:00,3326.69,3348.36,3323.71,3341.01,5782.19841
2025-01-01 12:00:00,3341.01,3352.32,3338.57,3347.46,8853.24725
2025-01-01 13:00:00,3347.46,3353.5,3332.51,3343.36,9510.87307
2025-01-01 14:00:00,3343.36,3359.37,3328.21,3345.86,9957.81935
2025-01-01 15:00:00,3345.86,3355.47,3333.41,3352.91,6475.95652
2025-01-01 16:00:00,3352.91,3357.19,3332.26,3338.69,5967.14655
2025-01-01 17:00:00,3338.69,3344.79,3323.23,3343.71,6658.27827
2025-01-01 18:00:00,3343.71,3352.0,3333.26,3348.57,7059.71732
2025-01-01 19:00:00,3348.57,3364.15,3338.41,3356.56,9486.64914
2025-01-01 20:00:00,3356.56,3362.6,3352.0,3360.4,6331.16989
2025-01-01 21:00:00,3360.4,3371.4,3353.76,3368.38,6662.1841
2025-01-01 22:00:00,3368.38,3374.42,3358.99,3361.63,5335.6331
2025-01-01 23:00:00,3361.63,3366.8,3352.72,3360.38,6452.10365
2025-01-02 00:00:00,3360.38,3400.0,3354.51,3389.92,13397.31318
2025-01-02 01:00:00,3389.92,3405.53,3378.54,3383.92,9141.91865
2025-01-02 02:00:00,3383.92,3398.5,3378.0,3398.5,7254.41064
2025-01-02 03:00:00,3398.5,3402.0,3387.23,3388.55,6206.09315
2025-01-02 04:00:00,3388.55,3427.5,3388.0,3417.69,7223.7774
2025-01-02 05:00:00,3417.69,3419.14,3404.8,3412.39,4035.06445
2025-01-02 06:00:00,3412.39,3415.69,3402.12,3410.38,2778.06789
2025-01-02 07:00:00,3410.38,3422.0,3408.79,3420.06,3712.26521
2025-01-02 08:00:00,3420.06,3442.57,3414.21,3437.92,5770.82327
2025-01-02 09:00:00,3437.92,3469.99,3434.4,3467.94,6931.00053
2025-01-02 10:00:00,3467.94,3476.0,3457.99,3468.81,6392.04165
2025-01-02 11:00:00,3468.81,3475.0,3457.49,3471.19,5999.6552
2025-01-02 12:00:00,3471.19,3481.14,3465.93,3480.47,5518.00755
2025-01-02 13:00:00,3480.47,3484.37,3460.35,3465.86,6187.5054
2025-01-02 14:00:00,3465.86,3508.78,3440.6,3495.37,14392.28092
2025-01-02 15:00:00,3495.37,3496.02,3456.52,3463.51,8405.88633
2025-01-02 16:00:00,3463.51,3490.0,3448.91,3469.53,6660.46421
2025-01-02 17:00:00,3469.53,3478.95,3429.99,3450.41,6414.0968
2025-01-02 18:00:00,3450.41,3465.53,3440.2,3465.23,6468.3874
2025-01-02 19:00:00,3465.23,3474.68,3459.14,3463.0,5471.21322
2025-01-02 20:00:00,3463.0,3475.28,3452.04,3453.0,4212.02705
2025-01-02 21:00:00,3453.0,3455.93,3443.01,3454.2,5349.64818
2025-01-02 22:00:00,3454.2,3454.2,3422.18,3440.61,4903.80785
2025-01-02 23:00:00,3440.61,3457.0,3437.49,3455.68,6375.00879
2025-01-03 00:00:00,3455.68,3466.54,3446.75,3449.21,3954.79421
2025-01-03 01:00:00,3449.21,3465.44,3443.26,3464.76,4998.83741
2025-01-03 02:00:00,3464.76,3477.04,3457.04,3458.2,5505.76774
2025-01-03 03:00:00,3458.2,3472.89,3456.02,3470.08,4279.26161
2025-01-03 04:00:00,3470.08,3470.95,3456.0,3458.39,3914.715
2025-01-03 05:00:00,3458.39,3460.51,3444.81,3455.98,5146.57445
2025-01-03 06:00:00,3455.98,3461.51,3442.0,3442.59,4548.70277
2025-01-03 07:00:00,3442.59,3444.4,3432.44,3433.27,6507.93693
2025-01-03 08:00:00,3433.27,3442.51,3423.44,3430.21,8708.4874
2025-01-03 09:00:00,3430.21,3450.85,3429.11,3443.63,7721.90969
2025-01-03 10:00:00,3443.63,3452.01,3438.59,3446.0,6102.22559
2025-01-03 11:00:00,3446.0,3468.0,3446.0,3465.61,7735.91362
2025-01-03 12:00:00,3465.61,3476.53,3461.34,3464.09,8332.93127
2025-01-03 13:00:00,3464.09,3497.47,3463.51,3481.86,11279.86781
2025-01-03 14:00:00,3481.86,3536.64,3481.61,3526.86,13690.66117
2025-01-03 15:00:00,3526.86,3575.48,3520.08,3565.13,14288.76999
2025-01-03 16:00:00,3565.13,3598.42,3565.13,3584.28,12942.97039
2025-01-03 17:00:00,3584.28,3593.45,3573.59,3575.47,6883.83218
2025-01-03 18:00:00,3575.47,3617.51,3574.07,3605.6,8558.05142
2025-01-03 19:00:00,3605.6,3630.0,3602.61,3622.82,8354.36575
2025-01-03 20:00:00,3622.82,3623.21,3600.0,3600.71,7028.6813
2025-01-03 21:00:00,3600.71,3616.68,3595.02,3614.38,5516.13857
2025-01-03 22:00:00,3614.38,3624.24,3610.21,3616.19,3348.28898
2025-01-03 23:00:00,3616.19,3617.72,3604.63,3609.0,4401.70018
2025-01-04 00:00:00,3609.0,3620.78,3601.81,3602.42,4476.44169
2025-01-04 01:00:00,3602.42,3604.11,3582.44,3596.27,4998.77475
2025-01-04 02:00:00,3596.27,3600.0,3582.86,3596.39,3916.41459
2025-01-04 03:00:00,3596.39,3600.42,3591.0,3597.98,3793.64235
2025-01-04 04:00:00,3597.98,3597.98,3584.16,3591.47,3291.39046
2025-01-04 05:00:00,3591.47,3597.01,3586.71,3596.66,2721.30632
2025-01-04 06:00:00,3596.66,3607.13,3595.2,3600.61,3668.56741
2025-01-04 07:00:00,3600.61,3609.81,3593.2,3594.04,3769.19575
2025-01-04 08:00:00,3594.04,3603.62,3584.99,3585.01,4970.89571
2025-01-04 09:00:00,3585.01,3595.52,3583.86,3589.56,4199.8869
2025-01-04 10:00:00,3589.56,3592.58,3572.73,3588.08,4035.59215
2025-01-04 11:00:00,3588.08,3605.1,3585.0,3602.0,3919.48065
2025-01-04 12:00:00,3602.0,3644.38,3600.62,3635.52,7390.70127
2025-01-04 13:00:00,3635.52,3649.66,3627.19,3643.99,5515.60503
2025-01-04 14:00:00,3643.99,3647.02,3633.11,3636.99,4880.20989
2025-01-04 15:00:00,3636.99,3662.88,3592.21,3607.82,10825.30469
2025-01-04 16:00:00,3607.82,3628.23,3601.61,3622.08,6993.71913
2025-01-04 17:00:00,3622.08,3634.11,3620.01,3633.31,5717.33652
2025-01-04 18:00:00,3633.31,3644.54,3619.61,3626.74,4011.63021
2025-01-04 19:00:00,3626.74,3638.81,3624.25,3631.13,4047.55458
2025-01-04 20:00:00,3631.13,3668.0,3631.13,3660.5,5301.8407
2025-01-04 21:00:00,3660.5,3671.16,3654.86,3658.11,4668.66547
2025-01-04 22:00:00,3658.11,3662.92,3646.62,3660.09,3054.1222
2025-01-04 23:00:00,3660.09,3665.75,3651.12,3656.87,3426.94291
2025-01-05 00:00:00,3656.87,3675.24,3648.32,3650.11,3873.67996
2025-01-05 01:00:00,3650.11,3651.35,3631.28,3636.79,2304.85569
2025-01-05 02:00:00,3636.79,3645.37,3635.0,3641.42,1447.28465
2025-01-05 03:00:00,3641.42,3641.57,3629.66,3637.78,1616.95296
2025-01-05 04:00:00,3637.78,3649.4,3637.17,3644.3,1357.49885
2025-01-05 05:00:00,3644.3,3644.31,3631.28,3632.65,1377.54687
2025-01-05 06:00:00,3632.65,3641.83,3628.99,3639.08,1244.02327
2025-01-05 07:00:00,3639.08,3641.26,3630.21,3631.56,1813.61922
2025-01-05 08:00:00,3631.56,3633.29,3607.8,3620.0,2451.20994
2025-01-05 09:00:00,3620.0,3623.4,3605.21,3609.11,1765.04723
2025-01-05 10:00:00,3609.11,3618.12,3603.38,3615.61,2208.16384
2025-01-05 11:00:00,3615.61,3620.95,3609.62,3613.47,1582.69772
2025-01-05 12:00:00,3613.47,3622.82,3605.0,3613.93,1878.70936
2025-01-05 13:00:00,3613.93,3627.49,3612.74,3614.67,1926.08859
2025-01-05 14:00:00,3614.67,3628.16,3593.77,3623.11,4164.93478
2025-01-05 15:00:00,3623.11,3638.77,3619.43,3629.61,2658.92917
2025-01-05 16:00:00,3629.61,3641.12,3624.5,3628.01,2490.67598
2025-01-05 17:00:00,3628.01,3648.11,3622.47,3627.82,2034.45278
2025-01-05 18:00:00,3627.82,3632.91,3613.03,3630.76,2267.04087
2025-01-05 19:00:00,3630.76,3639.48,3626.51,3637.79,1915.35443
2025-01-05 20:00:00,3637.79,3656.89,3629.5,3635.78,2655.47564
2025-01-05 21:00:00,3635.78,3648.4,3634.13,3645.65,2163.13934
2025-01-05 22:00:00,3645.65,3649.49,3634.78,3645.32,1349.18036
2025-01-05 23:00:00,3645.32,3655.57,3633.34,3635.99,2615.38577
2025-01-06 00:00:00,3635.99,3654.94,3621.13,3621.74,3632.24938
2025-01-06 01:00:00,3621.74,3655.43,3610.63,3648.83,3324.78623
2025-01-06 02:00:00,3648.83,3684.0,3645.09,3658.46,6349.60218
2025-01-06 03:00:00,3658.46,3674.98,3654.3,3664.91,3030.56687
2025-01-06 04:00:00,3664.91,3678.7,3660.4,3672.67,5747.01062
2025-01-06 05:00:00,3672.67,3698.04,3667.29,3680.61,7646.24449
2025-01-06 06:00:00,3680.61,3684.79,3665.61,3666.22,5274.17049
2025-01-06 07:00:00,3666.22,3668.46,3642.77,3650.76,6017.0028
2025-01-06 08:00:00,3650.76,3660.5,3636.69,3640.89,9655.72907
2025-01-06 09:00:00,3640.89,3650.0,3640.38,3644.75,6513.68372
2025-01-06 10:00:00,3644.75,3646.49,3633.0,3637.87,8274.45735
2025-01-06 11:00:00,3637.87,3659.58,3636.0,3654.51,8664.86647
2025-01-06 12:00:00,3654.51,3663.11,3641.72,3642.52,9101.16273
2025-01-06 13:00:00,3642.52,3653.16,3625.27,3651.04,10652.1605
2025-01-06 14:00:00,3651.04,3702.64,3622.14,3685.47,28475.03171
2025-01-06 15:00:00,3685.47,3714.26,3671.11,3714.26,28328.67731
2025-01-06 16:00:00,3714.26,3744.52,3691.83,3710.19,22625.9576
2025-01-06 17:00:00,3710.19,3710.19,3656.29,3673.87,16644.03271
2025-01-06 18:00:00,3673.87,3692.29,3662.14,3682.22,9738.3273
2025-01-06 19:00:00,3682.22,3695.52,3675.36,3687.45,7770.98993
2025-01-06 20:00:00,3687.45,3703.39,3672.68,3683.61,8696.00698
2025-01-06 21:00:00,3683.61,3688.89,3666.37,3667.18,6606.72985
2025-01-06 22:00:00,3667.18,3683.68,3667.0,3678.51,4463.87099
